source,target
HB02719,"gonzaga, ruwel peter s."
HB02720,"gonzaga, ruwel peter s."
HB02721,"gonzaga, ruwel peter s."
HB02722,"arroyo, ma. lourdes t."
HB02723,"arenas, rose marie ""baby"" j."
HB02724,"dimaporo, mohamad khalid q."
HB02724,"dimaporo, abdullah d."
HB02725,"nograles, jericho jonas b."
HB02726,"gatchalian, wes"
HB02727,"gatchalian, wes"
HB02728,"rodriguez, rufus b."
HB02729,"rodriguez, rufus b."
HB02730,"rodriguez, rufus b."
HB02731,"rodriguez, rufus b."
HB02732,"rodriguez, rufus b."
HB02733,"rodriguez, rufus b."
HB02734,"rodriguez, rufus b."
HB02735,"rodriguez, rufus b."
HB02736,"rodriguez, rufus b."
HB02737,"rodriguez, rufus b."
HB02738,"rodriguez, rufus b."
HB02739,"rodriguez, rufus b."
HB02740,"rodriguez, rufus b."
HB02741,"rodriguez, rufus b."
HB02742,"rodriguez, rufus b."
HB02743,"rodriguez, rufus b."
HB02744,"rodriguez, rufus b."
HB02745,"rodriguez, rufus b."
HB02746,"rodriguez, rufus b."
HB02747,"rodriguez, rufus b."
HB02748,"rodriguez, rufus b."
HB02749,"rodriguez, rufus b."
HB02750,"rodriguez, rufus b."
HB02751,"rodriguez, rufus b."
HB02752,"rodriguez, rufus b."
HB02753,"rodriguez, rufus b."
HB02754,"rodriguez, rufus b."
HB02755,"rodriguez, rufus b."
HB02756,"rodriguez, rufus b."
HB02757,"rodriguez, rufus b."
HB02758,"rodriguez, rufus b."
HB02759,"rodriguez, rufus b."
HB02760,"rodriguez, rufus b."
HB02761,"rodriguez, rufus b."
HB02762,"rodriguez, rufus b."
HB02763,"rodriguez, rufus b."
HB02764,"rodriguez, rufus b."
HB02765,"rodriguez, rufus b."
HB02766,"rodriguez, rufus b."
HB02767,"rodriguez, rufus b."
HB02768,"rodriguez, rufus b."
HB02769,"rodriguez, rufus b."
HB02770,"rodriguez, rufus b."
HB02771,"salceda, joey sarte"
HB02772,"rodriguez, rufus b."
HB02773,"rodriguez, rufus b."
HB02774,"rodriguez, rufus b."
HB02775,"rodriguez, rufus b."
HB02776,"rodriguez, rufus b."
HB02777,"rodriguez, rufus b."
HB02778,"rodriguez, rufus b."
HB02779,"rodriguez, rufus b."
HB02780,"rodriguez, rufus b."
HB02781,"rodriguez, rufus b."
HB02782,"rodriguez, rufus b."
HB02783,"rodriguez, rufus b."
HB02784,"rodriguez, rufus b."
HB02785,"rodriguez, rufus b."
HB02786,"rodriguez, rufus b."
HB02787,"rodriguez, rufus b."
HB02788,"rodriguez, rufus b."
HB02789,"rodriguez, rufus b."
HB02790,"rodriguez, rufus b."
HB02791,"rodriguez, rufus b."
HB02792,"rodriguez, rufus b."
HB02793,"rodriguez, rufus b."
HB02794,"rodriguez, rufus b."
HB02795,"rodriguez, rufus b."
HB02796,"rodriguez, rufus b."
HB02797,"rodriguez, rufus b."
HB02798,"rodriguez, rufus b."
HB02799,"rodriguez, rufus b."
HB02800,"rodriguez, rufus b."
HB02801,"rodriguez, rufus b."
HB02802,"rodriguez, rufus b."
HB02803,"rodriguez, rufus b."
HB02804,"rodriguez, rufus b."
HB02805,"rodriguez, rufus b."
HB02806,"rodriguez, rufus b."
HB02807,"rodriguez, rufus b."
HB02808,"rodriguez, rufus b."
HB02809,"rodriguez, rufus b."
HB02810,"rodriguez, rufus b."
HB02811,"rodriguez, rufus b."
HB02812,"rodriguez, rufus b."
HB02813,"rodriguez, rufus b."
HB02814,"rodriguez, rufus b."
HB02815,"rodriguez, rufus b."
HB02816,"rodriguez, rufus b."
HB02817,"rodriguez, rufus b."
HB02818,"rodriguez, rufus b."
HB02819,"rodriguez, rufus b."
HB02820,"rodriguez, rufus b."
HB02821,"rodriguez, rufus b."
HB02822,"rodriguez, rufus b."
HB02823,"rodriguez, rufus b."
HB02824,"rodriguez, rufus b."
HB02825,"rodriguez, rufus b."
HB02826,"rodriguez, rufus b."
HB02827,"rodriguez, rufus b."
HB02828,"rodriguez, rufus b."
HB02829,"rodriguez, rufus b."
HB02830,"rodriguez, rufus b."
HB02831,"rodriguez, rufus b."
HB02832,"rodriguez, rufus b."
HB02833,"rodriguez, rufus b."
HB02834,"rodriguez, rufus b."
HB02835,"rodriguez, rufus b."
HB02836,"rodriguez, rufus b."
HB02837,"rodriguez, rufus b."
HB02838,"rodriguez, rufus b."
HB02839,"rodriguez, rufus b."
HB02840,"rodriguez, rufus b."
HB02841,"rodriguez, rufus b."
HB02842,"rodriguez, rufus b."
HB02843,"rodriguez, rufus b."
HB02844,"rodriguez, rufus b."
HB02845,"rodriguez, rufus b."
HB02846,"rodriguez, rufus b."
HB02847,"villafuerte, luis raymund  jr. ""lray"" f."
HB02848,"yu, divina grace c."
HB02849,"villaraza-suarez, anna marie"
HB02849,"suarez, david ""jay-jay"" c."
HB02850,"villaraza-suarez, anna marie"
HB02850,"suarez, david ""jay-jay"" c."
HB02851,"villaraza-suarez, anna marie"
HB02851,"suarez, david ""jay-jay"" c."
HB02852,"villaraza-suarez, anna marie"
HB02852,"suarez, david ""jay-jay"" c."
HB02853,"villaraza-suarez, anna marie"
HB02853,"suarez, david ""jay-jay"" c."
HB02854,"nieto, john marvin ""yul servo"" c."
HB02855,"nieto, john marvin ""yul servo"" c."
HB02856,"nieto, john marvin ""yul servo"" c."
HB02857,"nieto, john marvin ""yul servo"" c."
HB02858,"yap, victor a."
HB02859,"bordado, gabriel jr. h."
HB02860,"lim, aloy"
HB02861,"salo, ron p."
HB02861,"nograles, juan fidel felipe f."
HB02862,"salo, ron p."
HB02862,"nograles, juan fidel felipe f."
HB02863,"de venecia, christopher v.p."
HB02864,"pineda, enrico a."
HB02864,"romero, michael  l., ph.d."
HB02865,"cabredo, fernando t."
HB02865,"salceda, joey sarte"
HB02865,"escudero, evelina g."
HB02866,"romero, michael  l., ph.d."
HB02867,"romero, michael  l., ph.d."
HB02868,"tupas, raul ""boboy"" c."
HB02869,"tupas, raul ""boboy"" c."
HB02870,"olivarez, eric l."
HB02871,"paduano, joseph stephen ""caraps"" s."
HB02872,"fortuno, jocelyn f."
HB02873,"fortuno, jocelyn f."
HB02874,"fortuno, jocelyn f."
HB02875,"puno, roberto v."
HB02876,"hernandez, ferdinand l."
HB02877,"romualdez, ferdinand martin g."
HB02877,"romualdez, yedda marie k."
HB02878,"romualdez, ferdinand martin g."
HB02878,"romualdez, yedda marie k."
HB02879,"aumentado, erico aristotle c."
HB02880,"hofer, ann k."
HB02881,"hofer, ann k."
HB02882,"malapitan, dale ""along"" r."
HB02883,"malapitan, dale ""along"" r."
HB02884,"malapitan, dale ""along"" r."
HB02885,"malapitan, dale ""along"" r."
HB02886,"malapitan, dale ""along"" r."
HB02887,"nieto, john marvin ""yul servo"" c."
HB02888,"sarmiento, edgar mary s."
HB02889,"nieto, john marvin ""yul servo"" c."
HB02890,"nieto, john marvin ""yul servo"" c."
HB02891,"nieto, john marvin ""yul servo"" c."
HB02892,"ramirez-sato, josephine"
HB02893,"ramirez-sato, josephine"
HB02894,"ramirez-sato, josephine"
HB02895,"ramirez-sato, josephine"
HB02896,"cabochan, manuel iii dg."
HB02897,"cabochan, manuel iii dg."
HB02898,"cabochan, manuel iii dg."
HB02899,"cabochan, manuel iii dg."
HB02900,"cabochan, manuel iii dg."
HB02901,"cabochan, manuel iii dg."
HB02902,"castelo, precious hipolito"
HB02903,"castelo, precious hipolito"
HB02904,"castelo, precious hipolito"
HB02905,"castelo, precious hipolito"
HB02906,"castelo, precious hipolito"
HB02907,"castelo, precious hipolito"
HB02908,"castelo, precious hipolito"
HB02909,"castelo, precious hipolito"
HB02910,"castelo, precious hipolito"
HB02911,"castelo, precious hipolito"
HB02912,"castelo, precious hipolito"
HB02913,"castelo, precious hipolito"
HB02914,"castelo, precious hipolito"
HB02915,"castelo, precious hipolito"
HB02916,"castelo, precious hipolito"
HB02917,"castelo, precious hipolito"
HB02918,"castelo, precious hipolito"
HB02919,"castelo, precious hipolito"
HB02920,"castelo, precious hipolito"
HB02921,"castelo, precious hipolito"
HB02922,"castelo, precious hipolito"
HB02923,"castelo, precious hipolito"
HB02924,"castelo, precious hipolito"
HB02925,"castelo, precious hipolito"
HB02926,"castelo, precious hipolito"
HB02927,"castelo, precious hipolito"
HB02928,"castelo, precious hipolito"
HB02929,"castelo, precious hipolito"
HB02930,"castelo, precious hipolito"
HB02931,"castelo, precious hipolito"
HB02932,"gasataya, greg g."
HB02933,"gasataya, greg g."
HB02934,"gasataya, greg g."
HB02935,"gasataya, greg g."
HB02936,"gasataya, greg g."
HB02937,"gasataya, greg g."
HB02938,"gasataya, greg g."
HB02939,"gasataya, greg g."
HB02940,"gasataya, greg g."
HB02941,"gasataya, greg g."
HB02942,"gasataya, greg g."
HB02943,"vargas, alfred d."
HB02944,"pichay, prospero jr. a."
HB02945,"fariñas, ria christina g."
HB02945,"fariñas, rudys caesar i g."
HB02946,"fariñas, ria christina g."
HB02946,"fariñas, rudys caesar i g."
HB02947,"fariñas, ria christina g."
HB02947,"fariñas, rudys caesar i g."
HB02948,"fariñas, ria christina g."
HB02948,"fariñas, rudys caesar i g."
HB02949,"fariñas, ria christina g."
HB02949,"fariñas, rudys caesar i g."
HB02950,"fariñas, ria christina g."
HB02950,"fariñas, rudys caesar i g."
HB02951,"fariñas, ria christina g."
HB02951,"fariñas, rudys caesar i g."
HB02952,"fongwan, nestor b."
HB02952,"dalog, maximo jr. y."
HB02953,"calderon, peter john d."
HB02954,"calderon, peter john d."
HB02955,"suansing, estrellita b."
HB02955,"suansing, horacio jr. p."
HB02956,"romero, michael  l., ph.d."
HB02957,"romero, michael  l., ph.d."
HB02958,"romero, michael  l., ph.d."
HB02959,"macapagal arroyo, juan miguel"
HB02960,"macapagal arroyo, juan miguel"
HB02961,"macapagal arroyo, juan miguel"
HB02962,"macapagal arroyo, juan miguel"
HB02963,"espino, jumel anthony i."
HB02964,"chungalao, solomon r."
HB02965,"matugas, francisco jose ii ""bingo"" f., cpa,ceso,llb"
HB02966,"matugas, francisco jose ii ""bingo"" f., cpa,ceso,llb"
HB02967,"teves, jose jr. ""bong"" j."
HB02968,"teves, jose jr. ""bong"" j."
HB02969,"defensor, lorenz r."
HB02970,"sagarbarria, manuel t."
HB02971,"sagarbarria, manuel t."
HB02972,"sagarbarria, manuel t."
HB02973,"sagarbarria, manuel t."
HB02974,"sagarbarria, manuel t."
HB02975,"sagarbarria, manuel t."
HB02976,"sagarbarria, manuel t."
HB02977,"torres-gomez, lucy"
HB02978,"torres-gomez, lucy"
HB02979,"torres-gomez, lucy"
HB02980,"chungalao, solomon r."
HB02981,"gonzales, aurelio jr. ""dong"" d."
HB02982,"tan, alyssa sheena p."
HB02983,"castelo, precious hipolito"
HB02984,"castelo, precious hipolito"
HB02985,"castelo, precious hipolito"
HB02986,"castelo, precious hipolito"
HB02987,"castelo, precious hipolito"
HB02988,"castelo, precious hipolito"
HB02989,"castelo, precious hipolito"
HB02990,"castelo, precious hipolito"
HB02991,"guico, ramon iii ""mon-mon"" v."
HB02992,"guico, ramon iii ""mon-mon"" v."
HB02993,"nograles, juan fidel felipe f."
HB02994,"gonzales, aurelio jr. ""dong"" d."
HB02995,"gaite, ferdinand r."
HB02995,"brosas, arlene d."
HB02995,"zarate, carlos isagani t."
HB02995,"cullamat, eufemia ""ka femia"" c."
HB02995,"castro, france l."
HB02995,"elago, sarah jane i."
HB02996,"alvarez, genaro jr. m."
HB02996,"teves, arnolfo jr. ""arnie"" a."
HB02997,"salceda, joey sarte"
HB02998,"acop, resurreccion m."
HB02998,"puno, roberto v."
HB02999,"jimenez, cesar jr. ""jawo"" l."
HB03000,"jimenez, cesar jr. ""jawo"" l."
HB03001,"jimenez, cesar jr. ""jawo"" l."
HB03002,"jimenez, cesar jr. ""jawo"" l."
HB03003,"jimenez, cesar jr. ""jawo"" l."
HB03004,"jimenez, cesar jr. ""jawo"" l."
HB03005,"jimenez, cesar jr. ""jawo"" l."
HB03006,"villafuerte, luis raymund  jr. ""lray"" f."
HB03007,"defensor, lorenz r."
HB03008,"loyola, dahlia a."
HB03009,"loyola, dahlia a."
HB03010,"tupas, raul ""boboy"" c."
HB03011,"frasco, vincent franco 'duke'  d."
HB03012,"plaza, eddiebong g."
HB03013,"tiangco, john reynald m."
HB03014,"gonzales, neptali ii m."
HB03015,"tan, alyssa sheena p."
HB03016,"palma, wilter  ""sharky"" ii wee"
HB03017,"palma, wilter  ""sharky"" ii wee"
HB03018,"palma, wilter  ""sharky"" ii wee"
HB03019,"palma, wilter  ""sharky"" ii wee"
HB03020,"palma, wilter  ""sharky"" ii wee"
HB03021,"palma, wilter  ""sharky"" ii wee"
HB03022,"palma, wilter  ""sharky"" ii wee"
HB03023,"palma, wilter  ""sharky"" ii wee"
HB03024,"palma, wilter  ""sharky"" ii wee"
HB03025,"palma, wilter  ""sharky"" ii wee"
HB03026,"palma, wilter  ""sharky"" ii wee"
HB03027,"palma, wilter  ""sharky"" ii wee"
HB03028,"palma, wilter  ""sharky"" ii wee"
HB03029,"agabas, tyrone d."
HB03029,"chungalao, solomon r."
HB03029,"palma, wilter  ""sharky"" ii wee"
HB03030,"palma, wilter  ""sharky"" ii wee"
HB03031,"velasco, lord allan jay q."
HB03031,"palma, wilter  ""sharky"" ii wee"
HB03032,"belmonte, jose christopher y."
HB03033,"vargas, alfred d."
HB03034,"lim, aloy"
HB03035,"nieto, john marvin ""yul servo"" c."
HB03036,"martinez, eric m."
HB03036,"nieto, john marvin ""yul servo"" c."
HB03036,"maceda, edward vera perez"
HB03036,"malapitan, dale ""along"" r."
HB03036,"valeriano, rolando m."
HB03037,"hofer, ann k."
HB03038,"suansing, estrellita b."
HB03038,"suansing, horacio jr. p."
HB03039,"suansing, estrellita b."
HB03039,"suansing, horacio jr. p."
HB03040,"suansing, estrellita b."
HB03040,"suansing, horacio jr. p."
HB03041,"aguinaldo, naealla bainto"
HB03042,"cuaresma, luisa lloren"
HB03043,"cuaresma, luisa lloren"
HB03044,"cuaresma, luisa lloren"
HB03045,"cuaresma, luisa lloren"
HB03046,"tan, angelina ""helen"" d.l., m.d."
HB03047,"tan, angelina ""helen"" d.l., m.d."
HB03048,"tan, angelina ""helen"" d.l., m.d."
HB03049,"tan, angelina ""helen"" d.l., m.d."
HB03050,"tan, angelina ""helen"" d.l., m.d."
HB03051,"tan, angelina ""helen"" d.l., m.d."
HB03052,"tan, angelina ""helen"" d.l., m.d."
HB03053,"babasa, leonardo jr. l."
HB03054,"babasa, leonardo jr. l."
HB03055,"babasa, leonardo jr. l."
HB03056,"babasa, leonardo jr. l."
HB03057,"babasa, leonardo jr. l."
HB03058,"babasa, leonardo jr. l."
HB03059,"babasa, leonardo jr. l."
HB03060,"babasa, leonardo jr. l."
HB03061,"babasa, leonardo jr. l."
HB03062,"nograles, jericho jonas b."
HB03063,"nograles, jericho jonas b."
HB03064,"nograles, jericho jonas b."
HB03065,"nograles, jericho jonas b."
HB03066,"umali, alfonso jr. v."
HB03067,"umali, alfonso jr. v."
HB03068,"umali, alfonso jr. v."
HB03069,"umali, alfonso jr. v."
HB03070,"umali, alfonso jr. v."
HB03071,"umali, alfonso jr. v."
HB03072,"sy-alvarado, ""kuya"" jose antonio r."
HB03073,"sy-alvarado, ""kuya"" jose antonio r."
HB03074,"baronda, julienne ""jam"" l."
HB03075,"vergara, rosanna ""ria"" v."
HB03076,"espino, jumel anthony i."
HB03077,"espino, jumel anthony i."
HB03078,"saulog, irene gay f."
HB03079,"saulog, irene gay f."
HB03080,"saulog, irene gay f."
HB03081,"saulog, irene gay f."
HB03082,"saulog, irene gay f."
HB03083,"olivarez, eric l."
HB03084,"olivarez, eric l."
HB03085,"villafuerte, luis raymund  jr. ""lray"" f."
HB03086,"villanueva, noel l."
HB03087,"villanueva, noel l."
HB03088,"villaraza-suarez, anna marie"
HB03088,"suarez, david ""jay-jay"" c."
HB03089,"villaraza-suarez, anna marie"
HB03089,"suarez, david ""jay-jay"" c."
HB03090,"garcia, pablo john f."
HB03091,"gonzaga, ruwel peter s."
HB03091,"alvarez, pantaleon d."
HB03091,"dujali, alan ""aldu"" r."
HB03092,"revilla, strike b."
HB03093,"revilla, strike b."
HB03094,"revilla, strike b."
HB03095,"revilla, strike b."
HB03096,"revilla, strike b."
HB03097,"revilla, strike b."
HB03098,"revilla, strike b."
HB03099,"revilla, strike b."
HB03100,"revilla, strike b."
HB03101,"zamora, manuel ""way kurat"" e."
HB03102,"romero, michael  l., ph.d."
HB03103,"romero, michael  l., ph.d."
HB03104,"guico, ramon iii ""mon-mon"" v."
HB03105,"tolentino, abraham ""bambol"" n."
HB03106,"tolentino, abraham ""bambol"" n."
HB03107,"crisologo, anthony peter ""onyx""  d."
HB03108,"castelo, precious hipolito"
HB03109,"castelo, precious hipolito"
HB03110,"castelo, precious hipolito"
HB03111,"dujali, alan ""aldu"" r."
HB03112,"nieto, john marvin ""yul servo"" c."
HB03113,"benitez, francisco ""kiko""  b."
HB03114,"sy-alvarado, ""kuya"" jose antonio r."
HB03115,"sy-alvarado, ""kuya"" jose antonio r."
HB03116,"bascug, alfel m."
HB03117,"tejada, jose ""ping-ping"" i."
HB03118,"tejada, jose ""ping-ping"" i."
HB03119,"tejada, jose ""ping-ping"" i."
HB03119,"barzaga, elpidio jr. f."
HB03120,"tejada, jose ""ping-ping"" i."
HB03121,"tejada, jose ""ping-ping"" i."
HB03122,"tejada, jose ""ping-ping"" i."
HB03123,"tejada, jose ""ping-ping"" i."
HB03124,"tejada, jose ""ping-ping"" i."
HB03125,"reyes, allan benedict s."
HB03126,"tejada, jose ""ping-ping"" i."
HB03127,"leachon, doy c."
HB03128,"leachon, doy c."
HB03129,"erice, edgar r."
HB03130,"erice, edgar r."
HB03131,"erice, edgar r."
HB03132,"erice, edgar r."
HB03133,"ungab, isidro t."
HB03133,"acosta-alba, maria lourdes"
HB03133,"sarmiento, edgar mary s."
HB03134,"acosta-alba, maria lourdes"
HB03135,"acosta-alba, maria lourdes"
HB03136,"acosta-alba, maria lourdes"
HB03137,"limkaichong, jocelyn sy"
HB03138,"amatong, isagani s."
HB03139,"espino, jumel anthony i."
HB03140,"espino, jumel anthony i."
HB03141,"almario, joel mayo z."
HB03142,"almario, joel mayo z."
HB03143,"bagatsing, cristal l."
HB03144,"bagatsing, cristal l."
HB03145,"cabredo, fernando t."
HB03146,"romulo, roman t."
HB03147,"romulo, roman t."
HB03148,"romulo, roman t."
HB03149,"romulo, roman t."
HB03150,"romulo, roman t."
HB03151,"romulo, roman t."
HB03152,"romulo, roman t."
HB03153,"romulo, roman t."
HB03154,"romulo, roman t."
HB03155,"romulo, roman t."
HB03156,"romulo, roman t."
HB03157,"romulo, roman t."
HB03158,"tan, shernee a."
HB03158,"tan, samier a."
HB03159,"tan, shernee a."
HB03159,"tan, samier a."
HB03160,"vargas, alfred d."
HB03161,"unabia, christian s."
HB03162,"unabia, christian s."
HB03163,"unabia, christian s."
HB03164,"garcia, pablo john f."
HB03165,"garcia, pablo john f."
HB03166,"garcia, pablo john f."
HB03167,"albano, antonio ""tonypet"" t."
HB03168,"arenas, rose marie ""baby"" j."
HB03169,"arenas, rose marie ""baby"" j."
HB03170,"geron, rico b."
HB03171,"geron, rico b."
HB03172,"tolentino, abraham ""bambol"" n."
HB03173,"tolentino, abraham ""bambol"" n."
HB03174,"tolentino, abraham ""bambol"" n."
HB03175,"tolentino, abraham ""bambol"" n."
HB03176,"tolentino, abraham ""bambol"" n."
HB03177,"tolentino, abraham ""bambol"" n."
HB03178,"tolentino, abraham ""bambol"" n."
HB03179,"tolentino, abraham ""bambol"" n."
HB03180,"tolentino, abraham ""bambol"" n."
HB03181,"tolentino, abraham ""bambol"" n."
HB03182,"tolentino, abraham ""bambol"" n."
HB03183,"velasco, lord allan jay q."
HB03184,"fortun, lawrence ""law"" h."
HB03185,"romualdez, ferdinand martin g."
HB03185,"romualdez, yedda marie k."
HB03186,"villanueva, noel l."
HB03187,"chatto, edgar m."
HB03188,"chatto, edgar m."
HB03189,"chatto, edgar m."
HB03190,"chatto, edgar m."
HB03191,"chatto, edgar m."
HB03192,"suarez, aleta c."
HB03193,"suarez, aleta c."
HB03194,"plaza, eddiebong g."
HB03195,"tejada, jose ""ping-ping"" i."
HB03196,"defensor, lorenz r."
HB03197,"villaraza-suarez, anna marie"
HB03197,"suarez, david ""jay-jay"" c."
HB03198,"villaraza-suarez, anna marie"
HB03198,"suarez, david ""jay-jay"" c."
HB03199,"marquez, carlito s."
HB03200,"olivarez, eric l."
HB03201,"olivarez, eric l."
HB03202,"olivarez, eric l."
HB03203,"olivarez, eric l."
HB03204,"olivarez, eric l."
HB03205,"olivarez, eric l."
HB03206,"olivarez, eric l."
HB03207,"olivarez, eric l."
HB03208,"olivarez, eric l."
HB03209,"olivarez, eric l."
HB03210,"balindong, yasser alonto"
HB03211,"lim, aloy"
HB03212,"angara, rommel rico t."
HB03213,"dy, faustino michael carlos iii t."
HB03214,"herrera-dy, bernadette ""bh"""
HB03215,"herrera-dy, bernadette ""bh"""
HB03216,"villanueva, eduardo ""bro. eddie"" c."
HB03216,"rivera, domingo c."
HB03217,"villanueva, eduardo ""bro. eddie"" c."
HB03217,"rivera, domingo c."
HB03218,"villanueva, eduardo ""bro. eddie"" c."
HB03218,"rivera, domingo c."
HB03219,"villanueva, eduardo ""bro. eddie"" c."
HB03219,"rivera, domingo c."
HB03220,"villanueva, eduardo ""bro. eddie"" c."
HB03220,"rivera, domingo c."
HB03221,"erice, edgar r."
HB03222,"erice, edgar r."
HB03223,"noel, florencio g."
HB03224,"noel, florencio g."
HB03224,"javier, lolita t."
HB03225,"amatong, isagani s."
HB03226,"alvarez, franz ""chicoy"" e."
HB03226,"abueg-zaldivar, cyrille ""beng"" f."
HB03226,"acosta, gil ""kabarangay jr."" a."
HB03227,"nieto, john marvin ""yul servo"" c."
HB03228,"nieto, john marvin ""yul servo"" c."
HB03229,"nieto, john marvin ""yul servo"" c."
HB03230,"umali, alfonso jr. v."
HB03231,"sarmiento, edgar mary s."
HB03232,"sarmiento, edgar mary s."
HB03233,"sarmiento, edgar mary s."
HB03234,"sarmiento, edgar mary s."
HB03235,"sarmiento, edgar mary s."
HB03236,"sarmiento, edgar mary s."
HB03237,"dimaporo, mohamad khalid q."
HB03237,"dimaporo, abdullah d."
HB03238,"robes, florida ""rida"" p."
HB03239,"salimbangon, janice z."
HB03240,"salimbangon, janice z."
HB03241,"salimbangon, janice z."
HB03242,"salimbangon, janice z."
HB03243,"salimbangon, janice z."
HB03244,"salceda, joey sarte"
HB03245,"gonzales, aurelio jr. ""dong"" d."
HB03246,"gonzales, aurelio jr. ""dong"" d."
HB03247,"dagooc, sergio c."
HB03248,"ebcas, adriano a."
HB03248,"dagooc, sergio c."
HB03248,"guya, godofredo n."
HB03248,"de jesus, presley c."
HB03249,"sy-alvarado, ""kuya"" jose antonio r."
HB03250,"sy-alvarado, ""kuya"" jose antonio r."
HB03251,"sy-alvarado, ""kuya"" jose antonio r."
HB03252,"sy-alvarado, ""kuya"" jose antonio r."
HB03253,"sy-alvarado, ""kuya"" jose antonio r."
HB03254,"silverio, lorna c."
HB03255,"suansing, horacio jr. p."
HB03255,"plaza, eddiebong g."
HB03255,"go, mark o."
HB03255,"bordado, gabriel jr. h."
HB03255,"calixto, antonino g."
HB03255,"ermita-buhain, elenita milagros ""eileen"""
HB03255,"lopez, manuel luis t."
HB03255,"cuaresma, luisa lloren"
HB03255,"gullas, eduardo ""eddie"" r."
HB03255,"gasataya, greg g."
HB03255,"delos santos, alfred c."
HB03255,"limkaichong, jocelyn sy"
HB03255,"sanchez, hector s."
HB03255,"biazon, ruffy b."
HB03255,"guya, godofredo n."
HB03255,"garin, sharon s."
HB03255,"singson-meehan, kristine"
HB03255,"santos-recto, vilma"
HB03255,"sagarbarria, manuel t."
HB03255,"garcia, pablo john f."
HB03255,"olivarez, eric l."
HB03255,"kho, elisa ""olga"" t."
HB03255,"nieto, john marvin ""yul servo"" c."
HB03255,"sy-alvarado, ""kuya"" jose antonio r."
HB03255,"quimbo, stella luz a."
HB03255,"salimbangon, janice z."
HB03255,"agabas, tyrone d."
HB03255,"yu, divina grace c."
HB03255,"barba, angelo marcos"
HB03255,"garbin, alfredo jr. a."
HB03255,"romualdo, xavier jesus d."
HB03255,"gatchalian, wes"
HB03255,"calderon, peter john d."
HB03255,"robes, florida ""rida"" p."
HB03255,"mercado, roger g."
HB03255,"babasa, leonardo jr. l."
HB03255,"collantes, ma. theresa v."
HB03255,"bautista-bandigan, lorna p."
HB03255,"revilla, strike b."
HB03255,"gonzalez, sandro l."
HB03255,"labadlabad, glona g."
HB03255,"deloso-montalla, cheryl p."
HB03255,"martinez, eric m."
HB03255,"natividad-nagaño, maricel g., md."
HB03255,"panotes, marisol c."
HB03255,"maceda, edward vera perez"
HB03255,"castro, france l."
HB03255,"aumentado, erico aristotle c."
HB03255,"elago, sarah jane i."
HB03255,"villar, camille a."
HB03255,"tan, shernee a."
HB03255,"biron, braeden john q."
HB03255,"suntay, jesus ""bong"" c."
HB03255,"dujali, alan ""aldu"" r."
HB03255,"tan, alyssa sheena p."
HB03255,"tejada, jose ""ping-ping"" i."
HB03255,"de venecia, christopher v.p."
HB03255,"unabia, christian s."
HB03255,"co, angelica natasha"
HB03255,"dalog, maximo jr. y."
HB03255,"baronda, julienne ""jam"" l."
HB03255,"caminero, wilfredo ""willy"" s."
HB03255,"cari, carl nicolas c."
HB03255,"tutor, kristine alexie b."
HB03255,"jalosjos, romeo jr. m."
HB03255,"cabredo, fernando t."
HB03255,"alvarez, franz ""chicoy"" e."
HB03255,"dimaporo, mohamad khalid q."
HB03255,"canama, sabiniano s."
HB03255,"dimaporo, abdullah d."
HB03255,"tiangco, john reynald m."
HB03255,"salo, ron p."
HB03255,"silverio, lorna c."
HB03255,"rodriguez, rufus b."
HB03255,"fariñas, ria christina g."
HB03255,"dagooc, sergio c."
HB03255,"villa, jake vincent"
HB03255,"cua, junie e."
HB03255,"campos, luis jr. n."
HB03255,"zubiri, manuel f."
HB03255,"cueva, leo rafael m."
HB03255,"dy, faustino michael carlos iii t."
HB03255,"bravo, narciso jr. r."
HB03255,"arenas, rose marie ""baby"" j."
HB03255,"suarez, david ""jay-jay"" c."
HB03255,"dalipe, manuel jose ""mannix"" m."
HB03255,"uy, juliette t."
HB03255,"salvador-tambunting, joy myra"
HB03255,"reyes, allan benedict s."
HB03255,"violago, micaela s."
HB03255,"bernos, joseph sto. niño b."
HB03255,"sakaluran, princess  rihan m."
HB03255,"matugas, francisco jose ii ""bingo"" f., cpa,ceso,llb"
HB03255,"duavit, michael john r."
HB03255,"espino, jumel anthony i."
HB03255,"ouano-dizon, emmarie ""lolypop"" m."
HB03255,"nava, ma. lucille l., m.d."
HB03255,"frasco, vincent franco 'duke'  d."
HB03255,"espina, gerardo  jr. ""gerryboy""  j."
HB03255,"vargas, alfred d."
HB03255,"daza, paul ruiz"
HB03255,"tan, angelina ""helen"" d.l., m.d."
HB03255,"vergara, rosanna ""ria"" v."
HB03255,"yap, eric go"
HB03255,"go, ed christopher  s."
HB03255,"sarmiento, edgar mary s."
HB03255,"zamora, manuel ""way kurat"" e."
HB03255,"ty, allan u."
HB03255,"benitez, francisco ""kiko""  b."
HB03255,"fariñas, rudys caesar i g."
HB03255,"pacquiao, rogelio ""ruel"" d."
HB03255,"garcia, jose enrique iii ""joet"" s."
HB03255,"bañas-nograles, shirlyn l."
HB03256,"hernandez, ferdinand l."
HB03257,"hernandez, ferdinand l."
HB03258,"hernandez, ferdinand l."
HB03259,"mangaoang, allen jesse c."
HB03260,"gatchalian, wes"
HB03261,"gatchalian, wes"
HB03262,"gatchalian, wes"
