name, party, votes, conf_date
LONE DISTRICT,,,
"ECLEO, ALAN 1 BURAY",PDPLBN,"26,746",14-May-2019
SURIGAO DEL NORTE,,,
1ST DISTRICT,,,
"MATUGAS, FRANCISCO JOSE II FORCADILLA",PDPLBN,"49,993",16-May-2019
2ND DISTRICT,,,
"BARBERS, ROBERT ACE SMITH",NP,"112,176",17-May-2019
SURIGAO DEL SUR,,,
1ST DISTRICT,,,
"PICHAY, PROSPERO, JR. ARREZA",LAKAS,"102,361",15-May-2019
2ND DISTRICT,,,
"PIMENTEL, JOHNNY TY",PDPLBN,"105,034",15-May-2019
